Date,Open,High,Low,Close,VWAP
2016-10-17,214.29,214.595,213.39,213.58,213.855665
2016-10-18,215.45,215.5,214.49,214.9,215.08805
2016-10-19,215.2,215.85,214.82,215.43,215.458811
2016-10-20,215.1,215.75,214.33,215.06,215.136983
2016-10-21,214.19,215.3,213.99,215.16,214.810227
2016-10-24,216.23,216.53,215.7016,216.11,216.102348
2016-10-25,215.9,216.2,215.21,215.42,215.532887
2016-10-26,214.42,215.64,214.16,214.97,214.978635
2016-10-27,215.81,215.83,214.3,214.38,214.88986
2016-10-28,214.33,215.14,212.93,213.75,214.058649
2016-10-31,214.16,214.39,213.57,213.69,213.859034
2016-11-01,214.13,214.18,210.79,212.23,212.363718
2016-11-02,211.87,212.29,210.41,210.9,211.314282
2016-11-03,211.17,211.41,209.64,210.02,210.586398
2016-11-04,210.09,211.07,209.57,209.67,210.431081
2016-11-07,212.65,214.39,212.49,214.32,213.730932
2016-11-08,213.92,216.0,213.6,215.31,214.990154
2016-11-09,213.51,218.34,213.47,217.69,216.147856
2016-11-10,218.58,219.55,216.45,218.12,217.962227
2016-11-11,217.32,217.92,216.55,217.73,217.384348
2016-11-14,218.37,218.5,216.9499,217.79,217.754196
2016-11-15,218.29,219.52,218.02,219.52,218.710083
2016-11-16,218.78,219.38,218.67,219.24,219.081626
2016-11-17,219.32,220.31,219.17,220.23,219.874654
2016-11-18,220.31,220.52,219.53,219.79,219.861373
2016-11-21,220.42,221.4399,220.26,221.39,221.027884
2016-11-22,221.8,222.05,220.99,221.76,221.543824
2016-11-23,221.25,222.03,221.01,222.0,221.506478
2016-11-25,222.36,222.82,222.29,222.81,222.569414
2016-11-28,222.43,222.75,221.63,221.83,222.20164
2016-11-29,221.81,222.72,221.43,222.19,222.256919
2016-11-30,222.94,223.1,221.53,221.53,222.257319
2016-12-01,221.97,221.98,220.42,220.73,221.09436
2016-12-02,220.93,221.5,220.52,220.91,220.930985
2016-12-05,221.94,222.67,221.6974,222.19,222.182817
2016-12-06,222.51,223.0185,221.93,222.99,222.54682
2016-12-07,222.83,225.97,222.66,225.87,224.271819
2016-12-08,225.9,227.0066,225.56,226.41,226.293496
2016-12-09,226.72,227.85,226.69,227.85,227.276943
2016-12-12,227.74,228.29,227.09,227.57,227.535467
2016-12-13,228.38,229.69,228.34,229.05,229.049689
2016-12-14,228.74,229.59,226.691,227.32,228.126664
